nro.;NOMBRE;DESC;tamanio;modelo; cantidad ;   precio   ; tipo 
1;TEQUEÑOS;;100 UNIDADES;;1; 60.00 ;5
2;PIERNITAS ;;100 UNIDADES;;1; 150.00 ;5
3;ALITAS Y PIERNITAS ;;100 UNIDADES;;1; 120.00 ;5
4;WANTAN;;100 UNIDADES;;1; 45.00 ;5
5;TRIPLES;;100 UNIDADES;;1; 85.00 ;5
6;SÁNDWICH DE POLLO;;100 UNIDADES;;1; 80.00 ;5
7;CAUSITA;;100 UNIDADES;;1; 50.00 ;5
8;ACEITUNAS RELLENAS;;100 UNIDADES;;1; 45.00 ;5
9;CHOCLO C/ QUESO;;100 UNIDADES;;1; 45.00 ;5
10;EMPANADITAS DE POLLO;;100 UNIDADES;;1; 45.00 ;5
11;EMPANADITAS DE CARNES    ;;100 UNIDADES;;1; 45.00 ;5
12;EMPANADITAS DE QUESO       ;;100 UNIDADES;;1; 25.00 ;5
13;EMPANADITAS MIXTA;;100 UNIDADES;;1; 25.00 ;5
14;EMPANADITAS DULCE ;;100 UNIDADES;;1; 25.00 ;5
15;ENRROLLADITOS  HOT DOG;;100 UNIDADES;;1; 25.00 ;5
16;ENRROLLADITOS ACEITUNA ;;100 UNIDADES;;1; 25.00 ;5
17;ALFAJORCITO;;100 UNIDADES;;1; 45.00 ;5
18;PIONONITOS ;;100 UNIDADES;;1; 30.00 ;5
19;PIZCITAS ;;100 UNIDADES;;1; 25.00 ;5
20;OREJITAS ;;100 UNIDADES;;1; 25.00 ;5
21;NIDITOS DE BODA ;;100 UNIDADES;;1; 25.00 ;5
22;COCADITAS;;100 UNIDADES;;1; 25.00 ;5
23;TURCA CHOCOLATE ;;100 UNIDADES;;1; 25.00 ;5
24;PIECITOS DE TIGRE;;100 UNIDADES;;1; 25.00 ;5
25;TRUFITAS;;100 UNIDADES;;1; 60.00 ;5
