nro.|NOMBRE|DESC|tamanio|modelo| cantidad |  precio  | tipo 
1|CHEESECAKE DE TRES LECHES||CIENTO|CLÁSICO|1|80|2
2|MUS||CIENTO|CLÁSICO|1|80|2
3|PIE DE MANZANA |GALLETA VAINILLA,RELLENO MANZANA CONFITADA.|UNIDAD|MOLDE|1|25|2
4|PIE DE CHOCOLATE|CUBIERTO CON CREMA PASTELERA SABOR A CHOCOLATE.|UNIDAD|MOLDE|1|25|2
5|PIE DE LIMÓN|CUBIERTO CON CREMA PASTELERA SABOR A LIMÓN, MERENGUE NUBLADO.|UNIDAD|MOLDE|1|25|2
6|CREMA VOLTEADA|HUEVO VATIDO, LECHE FRESCA, AZUCAR BLANCO, ESCENCIA DE VAINILLA Y EL MOLDE CON CARAMELO DE AZUCAR.|UNIDAD|MOLDE|1|25|2
1|KEKE  DEVAINILLA O CHOCOLATE|KEKE CON HUECO, SABOR A VAINILLA O CHOCOLATE|900 GR.|"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"|1|8|3
2|KEKE  DE PIÑA|CARAMELINA DE AZUCAR CON RODAJAS DE PIÑA|MOLDE|MOLDE|1|25|3
3|KEKE TRADICIONAL |KEKE SIN HUECO CON SABOR A VAINILLA O CHOCOLATE|1/4 KG.|MOLDE|1|6|3
4|KEKE TRADICIONAL |KEKE SIN HUECO CON SABOR A VAINILLA O CHOCOLATE|1/2 KG.|MOLDE|1|9|3
5|KEKE TRADICIONAL |KEKE SIN HUECO CON SABOR A VAINILLA O CHOCOLATE|3/4 KG.|MOLDE|1|12|3
6|KEKE TRADICIONAL |KEKE SIN HUECO CON SABOR A VAINILLA O CHOCOLATE|1 KG.|MOLDE|1|16|3
7|KEKE INGLES|PASAS, CASTAÑA Y FRUTAS CONFITADAS|MOLDE|MOLDE|1|4|3
8|KEKE INGLES|PASAS, CASTAÑA Y FRUTAS CONFITADAS|MOLDE|MOLDE|1|6|3
9|KEKE INGLES|PASAS, CASTAÑA Y FRUTAS CONFITADAS|MOLDE|MOLDE|1|12|3
10|MUFFIN|KEKITOS PEQUEÑOS, EN PIROTINES, DIFERENTES SABORES, PLATANO, ZANAHORIA ,ETC.|DOCENA|CLÁSICO|1|10|3
11|MUFFIN|KEKITOS PEQUEÑOS, EN PIROTINES, DIFERENTES SABORES, PLATANO, ZANAHORIA ,ETC.|UNIDAD|CLÁSICO|1|1|3
12|CUPCAKE SIMPLE|KEKE DE VAINILLA O CHOCOLATE, BAÑADO CON CREMA DE CHANTILLY O MERENGUE.|DOCENA|CLÁSICO|1|9|3
13|CUPCAKE SIMPLE|KEKE DE VAINILLA O CHOCOLATE, BAÑADO CON CREMA DE CHANTILLY O MERENGUE.|UNIDAD|CLÁSICO|1|3|3
14|CUPCAKE MASA ELASTICA, PERSONALIZADA|EN KEKE DEVAINILLA, KEKE INGLES O KEKE CON CHISPAS DE CHOCOLATE FORRADOS CON MASA ELASTICA, EL DISEÑO A ELECCIÓN.|DOCENA|PERSONALIZADO|1|0|3
15|CUPCAKE MASA ELASTICA, PERSONALIZADA|EN KEKE DEVAINILLA, KEKE INGLES O KEKE CON CHISPAS DE CHOCOLATE FORRADOS CON MASA ELASTICA, EL DISEÑO A ELECCIÓN.|UNIDAD|PERSONALIZADO|1|9|3
1|TRES LECHES TAPER||UNIDAD||1|3|4
2|2 LECHES TAPER ESP.||UNIDAD||1|5|4
3|MUS||UNIDAD||1|3|4
4|CARLOTA||UNIDAD||1|2|4
5|PASTEL DE QUESO||UNIDAD||1|1.5|4
6|PASTEL DE MIXTO||UNIDAD||1|1.5|4
7|ENRROLLADO||UNIDAD||1|1.5|4
8|OREJA||UNIDAD||1|1.5|4
9|CONO RELLENO||UNIDAD||1|1.5|4
10|TRIANGULO CON MANJAR||UNIDAD||1|1.5|4
11|MIL HOJAS||UNIDAD||1|1.5|4
12|EMPANADA MEDIANA||UNIDAD||1|3|4
13|TRUFAS GRANDE||UNIDAD||1|2|4
14|LECHE ASADA||UNIDAD||1|2|4
15|PORCION DE TORTAS||UNIDAD||1|3|4
16|GELATINA ||UNIDAD||1|1|4
17|GELOFLAN||UNIDAD||1|1.5|4
18|FLAN||UNIDAD||1|1.5|4
19|BOCADITAS A ESCOGER||100  UNIDADES||1|25|4
20|BOCADITOS SURTIDO||100  UNIDADES||1|25|4
