id|num|Nombre|Descripcion|tamanio|Modelo|cantidad|PRECIO|tipo|estado
|1|CHEESECAKE DE TRES LECHES|BASE DE GALLETA DE VAINILLA, QUESO CREMA + TOPING DE COMPOTA DE MARACUYA O MERMELADA FRESA ||MOLDE |1| 50.00 |2|A
|2|MOUSSE|BASE DE KEKE DE CHOCOLATE, CREMA DE MARACUYA, FRESA O CHOCOLATE + TOPING DE MARACUYA, FRESA O CHOCOLATE||MOLDE |1| 50.00 |2|A
|7|PIE DE MANZANA | GALLETA VAINILLA, RELLENO MANZANA CONFITADA.||MOLDE |1| 35.00 |2|A
|8|PIE DE CHOCOLATE|GALLETA DE VAINILLA, CREMA BATIDA SABOR CHOCOLATE BAÑADO DE BITTER ||MOLDE |1| 35.00 |2|A
|9|PIE DE LIMÓN|GALLETA DE VAINILLA, CON CREMA PASTELERA SABOR A LIMÓN, MERENGUE NUBLADO.||MOLDE |1| 35.00 |2|A
|10|CREMA VOLTEADA|SABOR A VAINILLA||MOLDE |1| 35.00 |2|A
|11|KEKE  DEVAINILLA O CHOCOLATE| KEKE CON  HUECO, SABOR A VAINILLA O  CHOCOLATE||MOLDE |1| 10.00 |2|A
|12|KEKE  DE PIÑA|CARAMELINA DE AZUCAR CON RODAJAS DE PIÑA||MOLDE|1| 25.00 |2|A
|13|KEKE INGLES|PASAS, CASTAÑA Y FRUTAS CONFITADAS||MOLDE|1| 18.00 |2|A
|14|CHOCOBANANA|KEKE SABOR A BANANA/PLATANO CON CHIPAS DE CHOLATE||MOLDE|1| 15.00 |2|A
|15|CARROT CAKE|KEKE SABOR A ZANAHORIA GLASEADO CON QUESO CREMA||MOLDE|1| 15.00 |2|A
|1|MUFFIN |SABOR VAINILLA O CHOCOLATE|| UNIDAD |1| 2.00 |3|A
|2|CUPCAKE CON CREMA |CUPCAKE TEMÁTICO CON CHISPAS DE CHOCOLATE O SABOR VAINILA, DECORADO CON CREMA CHANTILLY || UNIDAD |1| 3.00 |3|A
|3|CUPCAKE CON MASA ELASTICA |CUPCAKE TEMÁTICO CON CHISPAS DE CHOCOLATE O SABOR VAINILLA, DECORADO CON MASA ELÁSTICA || UNIDAD |1| 8.00 |3|A
|4|OREJA|HOJALDRE CUBIERTA DE MIEL DE AZUCAR|| UNIDAD |1| 3.00 |3|A
|5|CONO |RELLENO CON MANJAR BLANCO O CREMA PASTELERA || UNIDAD |1| 3.00 |3|A
|6|PASTEL DE PASAS|HOJALDRE CON RELLENO MANJAR BLANCO Y PASAS || UNIDAD |1| 3.00 |3|A
|7|MIL HOJAS|HOJALDRE RELLENO CON CREMA PASTELERA O MANJAR BLANCO || UNIDAD |1| 3.00 |3|A
|8|EMPANADA DE POLLO|RELLENO DE POLLO, HUEVO Y ACEITUNAS|| UNIDAD |1| 4.00 |3|A
|9|EMPANADA DE CARNE|RELLENO DE CARNE MOLIDA || UNIDAD |1| 3.50 |3|A
|10|TRUFAS GRANDE|KEKE CHÓCLATE CON MANÍ Y CUBIERTO CON CHOCOLATE BITTER|| UNIDAD |1| -   |3|A
|11|LECHE ASADA|DULCE DE SUAVE TEXTURA Y CREMOSA.|| UNIDAD |1| -   |3|A
|12|TAJADAS DE TORTA (chocolate) |PORCION DE TORTA SELVA NEGRA, MOKA Y FUDGE. || TAJADA |1| 4.00 |3|A
|13|TAJADA TRES LECHES |PORCION DE TORTA TRES LECHES HUMEDO DE FRESA, CHOCOLATE Y PISCO SOUR|| TAJADA |1| 6.00 |3|A
|14|TAJADA DE CHEESECAKE|PORCION DE CHEESCAKE DE FRESA, O MARACUYA || TAJADA |1| 6.00 |3|A
|15|CORAZON|KEKE DE CHOCOLATE CON CARLOTA + JALEA DE FRESA Y CANTILLY|| UNIDAD |1| 6.00 |3|A
|16|GELATINA |GELATINA DE FRESA, NARANJA Y MENTA|| VASO |1| 1.50 |3|A
|17|GELOFLAN|GELATINA DE FRESA CON FLAN || VASO |1| 1.50 |3|A
|18|FLAN|FLAN || VASO |1| 1.50 |3|A
|19|CARLOTA|GELATINA DE FRESA CON KEKE DE CHOCOLATE Y CREMA CHANTILLY|| VASO |1| 3.00 |3|A
|20|COPA REY|COPA DE CHOCOLATE CON RELLENO DE KEKE DE CHOCOLATE MAS CHANTILLY|| UNIDAD |1| 4.00 |3|A
|21|CREMA VOLTEADA|DULCE DE TEXTURA Y CREMOSA, CON UNA CUBIERTA DORADA.|| UNIDAD |1| 4.00 |3|A
|22|PIE DE MANZANA | GALLETA VAINILLA, RELLENO MANZANA CONFITADA.|| UNIDAD |1| 4.00 |3|A
|23|PIE DE LIMÓN|GALLETA DE VAINILLA, CON CREMA PASTELERA SABOR A LIMÓN, MERENGUE NUBLADO.|| UNIDAD |1| 4.00 |3|A
|24|BOCADITOS SURTIDO|A SOLICITUDA DEL CLIENTE|| CIENTO |1| 30.00 |3|A
